2048,1152,726,8,
2048,1152,739,8,
2048,1152,743,8,
2048,1152,743,8,
2048,1152,751,8,
2048,1152,763,8,
2048,1152,772,8,
2048,1152,773,8,
2048,1152,774,8,
2048,1152,782,8,
2048,1152,757,8,Median
,,,,
2048,1152,962,6,
2048,1152,970,6,
2048,1152,972,6,
2048,1152,973,6,
2048,1152,974,6,
2048,1152,980,6,
2048,1152,984,6,
2048,1152,987,6,
2048,1152,1002,6,
2048,1152,1013,6,
2048,1152,977,6,Median
,,,,
2048,1152,1403,4,
2048,1152,1409,4,
2048,1152,1413,4,
2048,1152,1416,4,
2048,1152,1420,4,
2048,1152,1433,4,
2048,1152,1436,4,
2048,1152,1442,4,
2048,1152,1447,4,
2048,1152,1447,4,
2048,1152,1426.5,4,Median
,,,,
,,,,
2048,1152,2766,Original,
2048,1152,2777,Original,
2048,1152,2819,Original,
2048,1152,2823,Original,
2048,1152,2823,Original,
2048,1152,2856,Original,
2048,1152,2873,Original,
2048,1152,2882,Original,
2048,1152,2893,Original,
2048,1152,2918,Original,
2048,1152,2839.5,Original,Median
2048,1152,3489
