1024,576,1350,8
1024,576,1387,8
1024,576,1351,8
1024,576,1377,8
1024,576,1370,8
1024,576,1352,8
1024,576,1341,8
1024,576,1364,8
1024,576,1360,8
1024,576,1372,8
,,,
1024,576,1739,6
1024,576,1712,6
1024,576,1702,6
1024,576,1701,6
1024,576,1712,6
1024,576,1741,6
1024,576,1698,6
1024,576,1734,6
1024,576,1707,6
1024,576,1705,6
,,,
1024,576,2531,4
1024,576,2584,4
1024,576,2538,4
1024,576,2533,4
1024,576,2623,4
1024,576,2687,4
1024,576,2585,4
1024,576,2538,4
1024,576,2581,4
1024,576,2625,4
,,,
1024,576,5152,Original
1024,576,5031,Original
1024,576,5142,Original
1024,576,5139,Original
1024,576,5034,Original
1024,576,5035,Original
1024,576,5050,Original
1024,576,5040,Original
1024,576,5030,Original
1024,576,5045,Original
